나이,계약유형,그룹수업_참여,마지막_방문_경과일,이번달_주당방문횟수,총_이용개월수,최근한달_일평균_운동시간,PT_가입여부,기구_만족도,최근한달_부상경험,주_이용_시간대_혼잡도,불편_회원_경험,가격_만족도,직원_만족도,서비스_만족도,상대_방문공백,설문_응답여부,이탈,서비스불만_환경불편,서비스불만_비매너회원,서비스불만_프로그램불만족,기구불만_기구부족,기구불만_낙후된기구,기구불만_청결불량,직원불만_불친절,직원불만_전문성부족,직원불만_과도한영업,가격불만_할인부족,가격불만_가격비쌈
44,12,0,0,4.828,17,61,0,,,혼잡,,,,,0.27,0,0,0,0,0,0,0,0,0,1,0,0,1
20,3,0,8,1.465,2,56,0,,,보통,,,,,1.68,0,1,0,0,0,0,0,0,0,0,0,0,0
20,12,0,46,0.621,13,45,0,3,0,보통,1,3,3,1,4.12,1,1,1,1,0,0,0,1,1,0,0,1,0
17,3,0,60,0.007,2,31,0,,,혼잡,,,,,7.89,0,1,0,0,0,0,0,1,0,1,0,0,0
46,3,0,3,1.393,1,47,0,,,여유,,,,,0.66,0,0,0,0,0,0,0,1,0,0,0,0,0
29,3,0,2,3.191,6,110,0,5,0,혼잡,0,4,5,4,1.02,1,0,0,0,0,1,0,0,0,0,0,0,0
27,3,1,3,2.868,2,94,0,,,여유,,,,,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
36,12,0,12,0.82,19,34,0,3,0,보통,0,2,3,3,1.39,1,1,0,0,0,0,0,0,0,0,0,0,0
43,12,0,3,2.338,30,51,0,,,보통,,,,,0.97,0,0,1,1,0,0,0,0,0,0,0,0,0
50,6,1,1,3.466,11,40,0,5,0,혼잡,0,3,4,4,0.53,1,0,0,0,1,0,0,0,0,0,0,0,0
29,1,1,1,2.72,4,61,0,,,보통,,,,,0.38,0,0,0,0,0,1,0,1,0,0,0,0,0
32,6,0,18,0.574,8,45,1,,,매우혼잡,,,,,1.45,0,1,1,0,0,0,0,0,0,0,0,0,0
16,6,0,3,2.241,7,63,1,,,혼잡,,,,,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6,0,0,4.217,10,108,1,5,0,여유,0,4,5,4,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0
20,12,0,2,2.67,17,62,0,4,0,보통,0,4,4,3,0.59,1,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,3,1.249,5,86,0,4,0,혼잡,0,3,4,4,0.52,1,0,0,0,0,0,0,0,1,0,0,0,0
24,12,0,3,1.886,20,48,0,3,0,혼잡,1,2,4,1,0.94,1,0,0,1,0,1,1,0,0,0,0,0,0
39,6,1,20,0.733,17,22,0,1,1,매우혼잡,0,3,3,2,2.08,1,0,0,0,1,0,1,0,0,0,0,1,0
33,6,0,7,1.07,6,56,0,,,여유,,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,12,1,1,3.419,16,86,0,4,0,여유,0,4,2,4,0.45,1,0,0,0,0,0,0,0,0,0,0,1,0
39,1,0,1,3.205,1,37,0,,,혼잡,,,,,0.65,0,1,0,0,0,0,0,0,1,0,0,0,0
29,3,0,60,0.125,7,31,1,4,0,여유,1,3,4,3,5.79,1,0,0,0,0,0,0,0,0,0,0,0,1
15,6,1,1,2.96,15,87,0,,,혼잡,,,,,0.58,0,0,0,0,1,0,0,0,0,0,0,0,0
21,12,1,0,4.613,12,105,0,5,0,보통,0,4,5,5,0.21,1,0,0,0,0,0,0,0,0,0,0,0,0
56,3,0,5,1.315,2,50,0,4,0,혼잡,0,3,4,3,0.94,1,1,0,0,0,0,0,0,0,0,0,0,0
61,3,0,8,0.847,4,39,0,,,여유,,,,,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,0,20,0.652,10,30,0,,,보통,,,,,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6,1,1,2.706,6,123,0,,,혼잡,,,,,0.35,0,0,0,0,0,0,0,1,0,0,0,0,0
33,6,0,2,2.418,4,67,0,,,혼잡,,,,,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,0,2,2.078,5,51,0,5,0,여유,0,3,4,4,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0
69,12,1,2,2.739,24,47,1,,,여유,,,,,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,1,1,4.225,3,147,1,3,0,혼잡,0,4,5,5,0.39,1,0,0,0,0,0,0,0,0,0,0,0,0
22,6,0,7,1.506,2,73,1,,,보통,,,,,1.44,0,0,1,0,0,1,0,0,0,1,0,0,1
26,12,0,6,1.641,37,76,1,,,여유,,,,,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,0,7,0.852,6,42,0,5,0,보통,1,3,3,4,0.86,1,1,0,0,0,0,0,0,0,0,0,0,0
39,12,0,4,1.586,8,60,0,,,보통,,,,,0.88,0,1,0,0,0,0,0,1,0,0,0,0,0
36,3,0,0,6.093,10,116,0,,,보통,,,,,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,0,23,0.554,5,65,0,,,여유,,,,,1.83,0,1,0,0,0,0,0,0,0,1,0,0,0
54,6,1,14,1.262,18,46,0,2,0,혼잡,1,3,4,1,2.46,1,0,1,1,1,0,1,1,0,0,0,0,0
28,1,0,4,2.025,2,78,0,4,0,보통,0,3,4,4,1.23,1,1,0,0,0,0,0,0,0,0,0,0,0
53,12,1,2,2.425,11,48,0,,,혼잡,,,,,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0
36,12,0,2,2.271,9,52,0,,,혼잡,,,,,0.64,0,0,0,0,0,0,0,0,1,0,0,0,0
26,12,0,16,0.653,16,80,0,,,보통,,,,,1.47,0,1,0,0,0,0,0,0,0,0,0,0,0
21,3,0,6,1.838,7,56,0,4,0,여유,0,4,4,4,1.48,1,0,0,0,0,0,0,0,0,0,0,0,0
46,6,0,19,0.591,16,47,0,1,0,보통,0,3,4,2,1.62,1,1,0,0,0,0,0,1,0,0,0,1,0
49,3,0,8,1.164,4,47,0,3,0,보통,0,2,2,3,1.41,1,1,0,0,0,0,0,0,1,1,0,0,1
53,1,1,16,0.848,1,74,0,4,0,보통,0,1,3,3,1.88,1,0,0,0,0,0,0,0,0,0,0,0,0
55,12,0,2,2.511,31,48,0,3,0,보통,0,4,4,4,0.63,1,0,0,0,0,0,0,0,0,0,0,0,0
25,12,0,2,2.882,12,56,0,4,0,혼잡,0,3,2,4,0.78,1,0,0,0,0,0,1,0,0,0,0,0,0
45,3,0,30,1.271,3,77,0,,,여유,,,,,5.48,0,1,0,0,0,0,0,0,0,0,0,0,0
26,3,1,1,3.133,3,86,0,,,여유,,,,,0.62,0,0,0,0,1,0,1,0,0,0,0,0,0
49,6,0,60,0.135,12,30,0,1,0,보통,0,2,4,4,8.28,1,1,0,0,0,0,0,1,0,0,0,0,1
48,3,0,31,0.421,4,38,0,2,1,보통,0,3,3,4,1.86,1,1,0,0,0,0,0,0,0,0,0,0,0
20,6,1,0,3.88,15,93,1,,,여유,,,,,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,0,3,1.859,9,79,0,,,보통,,,,,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6,0,4,2.039,5,67,1,4,0,보통,0,3,4,4,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0
18,12,0,5,1.189,33,36,0,1,1,여유,0,2,4,4,0.87,1,1,0,0,0,1,1,0,0,0,0,0,1
28,3,0,1,2.945,6,66,1,4,0,보통,0,4,5,4,0.35,1,0,1,0,0,0,0,0,0,0,0,0,0
47,3,0,3,2.395,2,89,0,3,0,보통,0,4,3,4,1.12,1,0,0,0,0,0,0,0,0,0,0,0,0
22,6,1,3,1.927,10,63,0,4,0,여유,0,4,4,5,0.96,1,0,1,0,0,0,0,0,0,1,0,0,0
37,3,0,8,1.01,2,51,0,,,혼잡,,,,,1.12,0,0,0,0,0,1,0,0,0,0,1,0,1
43,6,0,5,1.582,8,45,0,,,보통,,,,,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6,1,2,2.637,23,61,0,4,0,여유,0,3,4,5,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0
37,12,1,2,2.057,24,105,1,4,0,혼잡,1,1,4,1,0.59,1,0,0,0,0,1,0,0,0,1,0,1,1
34,1,0,12,0.784,3,38,0,2,1,혼잡,0,3,2,4,1.36,1,1,0,0,0,1,0,1,0,1,0,0,0
59,12,0,2,3.616,14,48,1,5,0,여유,0,4,5,4,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0
65,6,1,1,4.403,18,112,1,,,혼잡,,,,,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,5,1.837,1,48,0,3,0,여유,0,4,4,4,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,3,2.068,2,89,0,4,0,혼잡,1,3,5,2,0.89,1,0,1,1,1,0,0,0,0,0,0,0,1
54,3,1,13,0.672,6,53,0,3,1,혼잡,0,4,4,4,1.26,1,0,0,0,0,0,0,0,0,0,1,0,0
28,3,0,0,4.048,4,103,0,,,혼잡,,,,,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
45,12,0,2,2.828,12,45,1,3,0,보통,0,3,5,4,0.85,1,0,1,0,0,0,0,0,0,0,0,1,0
67,6,1,1,3.695,9,114,1,,,여유,,,,,0.31,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1,0,45,0.379,2,18,0,4,0,여유,0,1,3,3,2.43,1,1,0,0,0,0,0,0,0,0,0,0,1
33,12,0,2,2.141,17,73,0,,,매우혼잡,,,,,0.53,0,1,0,0,0,0,0,0,0,0,0,0,0
38,6,0,1,3.516,14,100,0,4,0,혼잡,0,4,5,4,0.29,1,0,0,0,0,0,0,0,0,0,0,0,0
35,12,1,1,3.805,42,117,0,4,0,혼잡,1,4,5,4,0.35,1,0,0,0,0,0,0,1,0,0,0,0,0
34,12,1,0,4.733,23,100,1,5,0,보통,0,5,5,5,0.22,1,0,0,0,0,0,1,0,0,0,0,0,0
30,1,0,3,2.201,3,89,0,4,0,혼잡,0,3,4,4,0.97,1,0,0,0,0,0,0,0,0,0,0,0,0
22,12,0,2,3.061,34,115,0,3,0,혼잡,0,3,3,4,0.93,1,1,0,0,0,0,0,0,0,0,0,0,0
32,1,0,11,0.856,2,30,0,,,보통,,,,,1.39,0,1,0,0,0,0,0,1,0,0,0,0,1
27,3,0,0,4.2,5,95,0,5,0,여유,0,5,5,5,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0
37,6,0,23,0.654,3,61,0,,,보통,,,,,2.15,0,1,0,0,0,0,0,0,1,0,0,0,0
17,1,0,6,1.07,5,70,0,,,혼잡,,,,,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,1,0,4.003,10,60,0,,,혼잡,,,,,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,0,7,1.432,5,34,0,,,여유,,,,,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0
49,6,1,1,3.037,4,57,0,3,0,보통,0,5,4,4,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0
55,6,0,9,0.932,8,37,0,1,0,보통,0,2,2,3,1.15,1,1,0,1,0,1,0,0,0,0,0,0,0
32,3,0,11,1.114,4,56,0,2,0,보통,0,3,4,4,1.69,1,0,0,0,0,0,1,1,1,0,0,0,0
35,12,0,5,1.644,9,63,0,,,여유,,,,,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,0,12,0.967,2,30,0,2,0,보통,0,3,3,4,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0
42,3,0,43,0.327,3,64,0,,,혼잡,,,,,2.0,0,0,1,1,0,0,1,1,0,0,0,0,1
34,12,0,2,2.233,15,63,0,,,혼잡,,,,,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,1,3,2.197,3,65,0,4,0,여유,0,3,4,4,0.86,1,0,0,0,0,0,0,0,0,0,0,0,0
24,6,0,60,0.344,4,58,0,,,여유,,,,,6.3,0,1,0,1,0,0,0,1,1,0,0,0,1
32,12,0,27,0.34,14,83,0,,,보통,,,,,1.33,0,1,1,1,0,0,0,0,0,0,0,1,0
30,12,0,4,1.268,17,35,0,3,0,보통,0,4,4,5,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0
27,12,0,1,3.577,26,95,0,4,0,혼잡,0,5,5,5,0.58,1,0,0,0,0,0,0,0,0,0,0,0,0
21,12,0,1,3.508,22,92,0,,,보통,,,,,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,0,5,1.86,2,63,0,4,0,혼잡,0,4,4,4,1.41,1,1,0,0,0,0,0,0,0,0,0,0,0
28,3,0,2,2.343,3,65,0,,,여유,,,,,0.76,0,0,0,0,0,0,0,0,0,0,1,0,0
54,1,0,2,2.036,1,32,0,,,보통,,,,,0.68,0,0,1,0,0,0,0,1,0,0,0,0,0
23,12,1,1,2.99,18,64,1,4,0,보통,0,3,3,4,0.59,1,0,0,0,1,0,0,0,0,0,0,0,1
30,3,0,60,0.363,3,37,0,3,0,여유,1,3,4,1,8.29,1,1,0,1,0,0,0,0,0,0,0,0,0
35,3,0,16,0.65,3,32,0,,,보통,,,,,1.49,0,1,0,0,0,0,0,0,0,0,0,1,0
48,6,1,0,5.888,20,141,1,,,여유,,,,,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1
45,6,0,15,0.747,11,18,0,,,매우혼잡,,,,,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0
39,1,0,14,0.564,2,38,0,,,혼잡,,,,,1.09,0,0,0,0,0,0,0,0,0,1,0,0,1
69,12,0,1,3.063,19,65,0,4,0,혼잡,1,2,4,2,0.43,1,1,0,1,0,0,0,0,0,0,0,0,1
61,12,1,7,1.744,22,84,0,2,0,보통,0,3,4,4,1.86,1,1,0,0,0,0,0,0,0,0,0,0,0
26,3,1,2,2.438,12,95,0,,,혼잡,,,,,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6,1,4,1.796,11,61,0,,,여유,,,,,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6,0,2,2.427,10,53,0,,,매우혼잡,,,,,0.67,0,0,0,0,0,1,0,1,1,0,0,0,0
40,6,0,26,0.468,6,50,0,,,보통,,,,,1.77,0,0,0,0,0,0,0,1,0,0,0,0,0
64,1,0,13,0.703,1,34,0,4,0,보통,0,1,3,4,1.34,1,0,0,0,0,0,0,0,0,0,0,0,1
46,6,0,7,1.119,8,22,0,1,1,여유,0,4,4,3,1.09,1,0,0,0,0,0,1,0,0,0,0,0,0
37,6,0,11,1.494,9,48,0,,,여유,,,,,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0
43,12,0,1,3.113,12,67,1,4,0,혼잡,0,2,4,4,0.58,1,0,0,0,0,0,0,0,0,0,0,0,1
42,12,0,3,2.796,14,38,0,5,0,보통,1,4,4,3,1.11,1,0,0,0,0,0,0,0,0,0,1,0,0
39,3,0,2,2.707,11,101,0,5,0,매우혼잡,1,4,4,2,0.72,1,0,0,0,0,0,1,0,0,0,0,0,0
59,6,1,1,3.421,23,81,0,3,0,여유,0,5,4,5,0.63,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,3,1.972,2,52,0,3,0,보통,0,4,4,4,0.81,1,1,0,0,0,0,0,0,0,0,0,0,0
69,6,1,3,2.325,10,46,0,3,0,보통,0,4,4,4,1.05,1,1,0,0,1,0,0,0,0,0,0,0,0
20,12,0,3,1.851,5,21,1,3,0,여유,0,3,5,4,0.91,1,0,0,0,0,0,0,0,0,1,0,0,0
27,1,1,1,3.995,1,104,0,5,0,여유,0,4,5,5,0.48,1,0,0,0,0,0,0,0,0,0,0,0,0
20,6,1,1,2.504,16,43,1,,,보통,,,,,0.39,0,0,1,1,1,0,0,0,0,0,0,1,0
43,12,0,7,1.245,21,41,0,4,0,보통,1,2,3,2,1.31,1,0,0,1,0,0,0,0,0,0,0,0,0
47,12,1,2,2.39,22,75,0,3,0,혼잡,0,4,4,3,0.7,1,0,0,0,1,0,0,0,0,1,0,0,0
39,12,1,3,2.969,12,119,1,3,1,혼잡,0,5,5,5,1.08,1,0,0,0,0,0,0,1,0,0,0,0,0
26,3,0,1,2.208,3,25,0,4,0,보통,0,4,4,4,0.42,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,1,2.958,6,73,0,,,매우혼잡,,,,,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6,0,4,1.552,15,30,0,2,0,보통,0,2,2,3,0.83,1,0,0,0,0,0,0,0,0,0,0,1,1
29,3,0,1,3.463,8,114,0,,,매우혼잡,,,,,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,0,11,1.34,2,69,0,,,보통,,,,,2.09,0,1,0,0,0,0,0,0,1,0,0,0,0
66,12,0,58,0.278,24,34,0,1,1,혼잡,0,1,4,3,2.48,1,0,0,0,0,0,1,1,0,0,0,1,0
62,3,0,4,2.016,6,65,0,,,여유,,,,,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12,0,2,2.873,10,75,0,,,여유,,,,,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0
69,6,0,16,0.86,9,54,0,4,0,여유,0,4,4,3,1.94,1,1,1,0,0,0,0,0,0,0,0,0,0
40,12,0,2,2.316,12,78,1,,,보통,,,,,0.76,0,0,1,1,0,1,0,0,0,0,0,0,1
58,12,1,1,4.164,48,112,1,4,0,보통,0,5,5,5,0.37,1,0,0,0,0,0,0,0,0,0,1,0,0
25,6,0,2,2.35,6,83,0,,,보통,,,,,0.82,0,1,0,0,0,0,0,0,0,0,0,0,0
69,12,1,1,3.85,43,99,0,,,혼잡,,,,,0.38,0,0,0,0,1,0,0,0,0,0,0,1,0
48,3,0,5,1.449,6,40,0,,,매우혼잡,,,,,1.12,0,0,1,0,0,1,0,1,0,0,0,0,0
17,3,0,4,1.716,2,77,1,4,0,여유,1,4,4,3,1.01,1,0,0,0,0,0,0,0,0,0,0,0,1
33,6,1,2,2.228,8,70,0,3,0,혼잡,1,4,4,3,0.59,1,0,0,1,0,0,0,0,0,0,0,0,0
33,12,0,1,3.51,45,94,1,,,보통,,,,,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6,0,1,2.135,23,52,0,,,보통,,,,,0.37,0,0,0,0,0,1,0,0,0,0,0,0,0
52,6,1,5,1.948,21,74,0,3,0,보통,0,4,2,4,1.42,1,0,0,0,0,0,0,0,0,1,1,1,0
38,6,1,10,1.554,7,40,0,,,혼잡,,,,,2.24,0,1,0,0,0,1,0,1,0,0,0,0,0
21,3,0,60,0.494,4,69,0,,,혼잡,,,,,4.37,0,1,1,1,0,0,0,1,0,0,0,0,0
54,1,0,1,3.041,3,71,0,,,여유,,,,,0.58,0,1,0,1,0,0,0,0,0,0,0,0,0
24,12,0,2,2.849,12,53,1,4,0,여유,0,4,5,4,0.64,1,0,0,0,0,0,0,0,0,0,0,0,0
19,12,1,2,2.727,12,57,0,4,0,보통,0,4,4,4,0.61,1,0,0,0,0,0,0,0,0,0,0,1,0
30,3,0,27,0.347,7,46,0,1,1,보통,0,4,3,4,1.33,1,0,0,0,0,1,1,0,0,0,0,0,0
38,12,1,3,2.877,13,41,0,,,여유,,,,,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,23,0.505,1,85,0,3,0,보통,0,1,3,3,1.66,1,1,0,0,0,0,0,0,0,0,0,0,1
62,3,0,15,0.955,2,17,1,,,보통,,,,,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0
19,3,0,6,1.803,3,64,0,3,0,보통,0,3,5,4,1.51,1,1,0,0,0,0,0,0,0,0,0,0,0
16,6,1,1,3.414,6,78,0,,,보통,,,,,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,0,7,1.169,12,82,0,3,0,혼잡,0,3,4,3,1.24,1,1,0,0,0,0,0,0,0,0,0,0,0
38,3,1,2,2.252,12,49,0,,,보통,,,,,0.75,0,0,0,1,0,0,0,0,0,0,0,1,0
44,12,1,1,2.815,11,86,0,,,보통,,,,,0.58,0,1,0,1,0,0,0,0,0,0,0,0,0
32,6,1,6,1.348,7,53,0,3,0,여유,0,3,4,3,1.19,1,0,0,1,0,0,0,0,0,1,0,0,0
33,3,0,2,2.9,5,56,0,5,0,여유,0,4,5,5,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,19,0.54,1,42,0,3,0,혼잡,1,2,4,1,1.48,1,1,1,1,0,0,0,0,0,0,0,0,0
19,3,0,0,3.545,6,102,1,5,0,여유,0,4,5,5,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0
37,3,0,9,1.142,4,84,0,3,0,혼잡,1,4,4,2,1.43,1,1,0,1,0,0,0,0,1,0,0,0,0
44,3,1,1,3.635,12,111,0,,,보통,,,,,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,0,0,4.134,9,107,1,3,0,보통,0,3,5,5,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0
24,6,0,2,3.572,30,98,1,,,여유,,,,,0.85,0,0,0,0,0,0,0,0,0,0,0,1,0
67,1,0,41,0.173,3,19,0,3,1,여유,0,4,4,4,1.75,1,1,0,0,0,0,0,0,0,0,0,0,0
61,1,0,1,2.912,2,66,0,4,0,보통,0,3,4,4,0.58,1,0,1,0,0,0,0,0,0,0,0,0,0
45,12,0,3,1.651,18,51,0,4,0,보통,0,3,3,4,0.64,1,0,0,0,0,0,0,1,0,0,0,0,0
18,3,1,3,2.462,7,84,0,4,0,혼잡,0,3,4,4,0.92,1,1,0,0,0,0,0,0,0,0,0,0,0
67,1,1,0,6.478,2,86,1,,,보통,,,,,0.13,0,0,0,0,0,1,0,0,0,0,0,0,0
57,3,0,53,0.031,2,48,0,,,여유,,,,,2.29,0,1,0,0,0,0,0,0,0,1,0,0,0
42,12,1,0,6.567,43,129,0,4,0,보통,0,5,5,5,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0
42,12,0,6,1.664,43,81,0,4,0,혼잡,1,2,5,2,1.46,1,1,0,0,0,0,0,0,0,0,0,0,1
66,6,0,60,0.161,8,56,0,2,0,여유,0,4,3,4,8.98,1,1,0,0,0,0,0,0,0,0,0,1,0
32,3,0,14,0.718,3,67,0,3,0,보통,1,1,5,4,1.42,1,0,0,0,0,0,0,0,0,0,0,0,0
